Anatomy,Elective,1
AP Biology,AP,1
AP Environmental,AP,1
AP Psychology,AP,1
Bioorganic Chemistry,Elective,1
Genetics,Elective,1
Introduction to Neuroscience,Elective,1
Living Environment,Core,1
Living Environment Lab,Core,1
Environmental Sustainability,Elective,1
Chemistry,Core,2
AP Chemistry,AP,2
Chemical Engineering,Elective,2
Organic Chemistry,Elective,2
MICA,Elective,2
Quantitative Analysis,Elective,2
Forensics,Elective,2
AP Computer Science Principles,AP,3
AP Computer Science A,AP,3
Big Data: Warehousing & Analytics,Elective,3
Cyber Security,Elective,3
Digital Electronics,Elective,3
Digital Systems Design,Elective,3
Fundamentals of IT Infrastructure,Elective,3
Green Building Construction,Elective,3
PLTW EDD,Elective,3
Statics,Elective,3
Strength of Materials,Elective,3
Web Development,Elective,3
Video Game Design,Elective,3
Mobile App Development,Elective,3
9th Grade English,Regents,4
10th Grade English,Regents,4
10th Grade: AP Capstone Seminar,AP,4
11th Grade English,Regents,4
11th Grade: AP English Language & Composition,AP,4
12th Grade: AP Capstone Research,AP,4
12th Grade: AP English Literature & Composition,AP,4
12th Grade: Drama,Elective,4
12th Grade: Creative Writing,Elective,4
12th Grade: Film & Literature,Elective,4
12th Grade: Graphic Novels,Elective,4
12th Grade: Journalism,Elective,4
12th Grade: Life Love & Death,Elective,4
12th Grade: Mystery Horror & the Supernatural,Elective,4
12th Grade: Science Fiction & Fantasy,Elective,4
12th Grade: Yearbook,Elective,4
The Survey,Elective,4
Chinese 1,Core,5
Chinese 2,Core,5
Chinese 3,Core,5
AP Chinese Language and Culture,AP,5
French 1,Core,5
French 2,Core,5
French 3,Regents,5
AP French Language and Culture,AP,5
German 1,Core,5
German 2,Core,5
German 3,Core,5
AP German Language and Culture,AP,5
Italian 1,Core,5
Italian 2,Core,5
Italian 3,Core,5
AP Italian Language and Culture,AP,5
Spanish 1,Core,5
Spanish 2,Core,5
Spanish 3,Core,5
Spanish IV - Pre-AP,Regents,5
AP Spanish Language and Culture,AP,5
AP Spanish Literature and Culture,AP,5
Gym,Core,6
Health,Core,6
Common Regents Algebra,Core,7
Common Regents Geometry,Core,7
Common Regents Algebra II,Core,7
Pre-Calculus,Regents,7
Calculus (non-AP),Regents,7
AP Calculus (AB),AP,7
AP Calculus (BC),AP,7
AP Statistics,AP,7
Multivariable Calculus,Elective,7
Math Research,Elective,7
Linear Algebra,Elective,7
Physics,Core,8
Physics Lab,Core,8
AP Physics 1,AP,8
AP Physics 2,AP,8
AP Physics C (Mechanics),Elective,8
AP Physics C (E/M),Elective,8
Astronomy,Elective,8
Modern Physics,Elective,8
Cultural Anthropology,Elective,9
Dollars and Sense,Elective,9
Tradingview partnership with Dollars and Sense,Elective,9
Economics,Core,9
Participation in Government,Elective,9
Physical Anthropology,Elective,9
Sociology,Elective,9
9th Grade Global,Core,9
10th Grade Regents Global History,Core,9
11th Grade Regents American History,Core,9
AP American History,AP,9
AP Comparative Government,AP,9
AP European History,AP,9
AP Human Geography,AP,9
AP Macroeconomics,AP,9
AP Microeconomics,AP,9
AP Psychology,AP,9
AP US Government,AP,9
AP World History,AP,9
Design & Drafting For Production,Core,10
AP Music Theory,AP,10
Basic Strings,Elective,10
Beginning Musicianship and Chorus,Elective,10
Collaborative Piano/Choral Accompaniment,Elective,10
Concert Band,Elective,10
Concert Choir,Elective,10
Intermediate Orchestra,Elective,10
Jazz Band,Elective,10
Junior Band,Elective,10
Orchestra,Elective,10
String Orchestra,Elective,10
Symphonic Band,Elective,10
Treble Choir,Elective,10
Tech Chorale,Elective,10
